ch1,ch2,timestamp_ms,label
549,525,0,clenched
534,488,10,clenched
513,529,20,clenched
502,514,30,clenched
526,490,40,clenched
540,526,50,clenched
548,501,60,clenched
504,515,70,clenched
548,516,80,clenched
501,521,90,clenched
500,497,100,clenched
528,500,110,clenched
521,481,120,clenched
529,501,130,clenched
533,514,140,clenched
547,517,150,clenched
549,502,160,clenched
541,481,170,clenched
534,493,180,clenched
534,505,190,clenched
505,489,200,clenched
510,503,210,clenched
519,483,220,clenched
527,511,230,clenched
539,495,240,clenched
546,488,250,clenched
533,518,260,clenched
538,507,270,clenched
511,511,280,clenched
518,499,290,clenched
517,513,300,clenched
527,506,310,clenched
545,508,320,clenched
525,505,330,clenched
540,524,340,clenched
544,483,350,clenched
546,526,360,clenched
508,518,370,clenched
514,518,380,clenched
507,526,390,clenched
531,482,400,clenched
549,503,410,clenched
513,515,420,clenched
530,491,430,clenched
520,493,440,clenched
523,526,450,clenched
521,498,460,clenched
507,500,470,clenched
505,523,480,clenched
526,526,490,clenched
533,524,500,clenched
519,483,510,clenched
509,481,520,clenched
512,489,530,clenched
534,503,540,clenched
506,498,550,clenched
526,527,560,clenched
541,504,570,clenched
516,521,580,clenched
517,518,590,clenched
538,522,600,clenched
532,528,610,clenched
517,504,620,clenched
515,498,630,clenched
538,492,640,clenched
515,520,650,clenched
540,518,660,clenched
536,488,670,clenched
507,507,680,clenched
541,513,690,clenched
532,527,700,clenched
524,497,710,clenched
542,497,720,clenched
538,503,730,clenched
540,519,740,clenched
524,500,750,clenched
549,490,760,clenched
517,517,770,clenched
531,482,780,clenched
503,509,790,clenched
547,492,800,clenched
515,498,810,clenched
522,516,820,clenched
507,489,830,clenched
547,506,840,clenched
507,523,850,clenched
549,493,860,clenched
505,486,870,clenched
510,511,880,clenched
507,510,890,clenched
512,487,900,clenched
545,513,910,clenched
518,486,920,clenched
522,486,930,clenched
514,523,940,clenched
504,491,950,clenched
547,519,960,clenched
544,505,970,clenched
511,519,980,clenched
544,493,990,clenched
535,504,1000,clenched
532,512,1010,clenched
513,500,1020,clenched
521,521,1030,clenched
526,489,1040,clenched
530,518,1050,clenched
528,519,1060,clenched
542,487,1070,clenched
529,508,1080,clenched
538,513,1090,clenched
537,493,1100,clenched
533,507,1110,clenched
504,525,1120,clenched
508,502,1130,clenched
537,484,1140,clenched
510,517,1150,clenched
512,482,1160,clenched
522,512,1170,clenched
519,480,1180,clenched
508,517,1190,clenched
549,521,1200,clenched
501,494,1210,clenched
533,510,1220,clenched
506,495,1230,clenched
529,519,1240,clenched
523,496,1250,clenched
504,519,1260,clenched
501,508,1270,clenched
510,488,1280,clenched
518,497,1290,clenched
501,517,1300,clenched
509,494,1310,clenched
526,528,1320,clenched
547,523,1330,clenched
547,508,1340,clenched
500,515,1350,clenched
533,524,1360,clenched
524,526,1370,clenched
530,524,1380,clenched
510,481,1390,clenched
532,481,1400,clenched
532,518,1410,clenched
533,488,1420,clenched
503,488,1430,clenched
530,503,1440,clenched
514,523,1450,clenched
534,516,1460,clenched
528,500,1470,clenched
503,499,1480,clenched
535,520,1490,clenched
528,506,1500,clenched
528,503,1510,clenched
542,529,1520,clenched
502,527,1530,clenched
538,520,1540,clenched
519,503,1550,clenched
502,519,1560,clenched
542,490,1570,clenched
532,523,1580,clenched
547,502,1590,clenched
530,499,1600,clenched
542,514,1610,clenched
526,480,1620,clenched
528,505,1630,clenched
549,488,1640,clenched
532,480,1650,clenched
540,514,1660,clenched
525,497,1670,clenched
517,497,1680,clenched
547,503,1690,clenched
503,490,1700,clenched
500,528,1710,clenched
545,514,1720,clenched
521,481,1730,clenched
543,482,1740,clenched
505,483,1750,clenched
515,491,1760,clenched
541,515,1770,clenched
520,525,1780,clenched
545,499,1790,clenched
503,481,1800,clenched
543,507,1810,clenched
505,487,1820,clenched
510,503,1830,clenched
547,503,1840,clenched
535,492,1850,clenched
506,496,1860,clenched
522,489,1870,clenched
547,506,1880,clenched
505,495,1890,clenched
521,522,1900,clenched
517,495,1910,clenched
502,496,1920,clenched
509,486,1930,clenched
528,482,1940,clenched
514,514,1950,clenched
518,513,1960,clenched
535,513,1970,clenched
509,480,1980,clenched
513,513,1990,clenched
546,484,2000,clenched
502,515,2010,clenched
506,505,2020,clenched
509,480,2030,clenched
511,516,2040,clenched
505,524,2050,clenched
534,484,2060,clenched
503,510,2070,clenched
546,500,2080,clenched
538,510,2090,clenched
505,527,2100,clenched
536,523,2110,clenched
535,495,2120,clenched
533,481,2130,clenched
544,486,2140,clenched
513,522,2150,clenched
502,483,2160,clenched
511,522,2170,clenched
515,494,2180,clenched
505,528,2190,clenched
501,511,2200,clenched
535,490,2210,clenched
506,490,2220,clenched
