ch1,ch2,timestamp_ms,label
532,510,0,four
535,496,10,four
539,528,20,four
514,524,30,four
539,496,40,four
535,481,50,four
540,518,60,four
527,487,70,four
541,483,80,four
525,509,90,four
540,528,100,four
504,490,110,four
531,528,120,four
514,486,130,four
524,508,140,four
523,517,150,four
522,495,160,four
500,488,170,four
501,521,180,four
516,492,190,four
511,489,200,four
521,508,210,four
500,487,220,four
521,492,230,four
546,525,240,four
503,527,250,four
522,529,260,four
501,528,270,four
506,483,280,four
547,508,290,four
547,488,300,four
501,515,310,four
513,513,320,four
512,517,330,four
511,526,340,four
513,481,350,four
515,525,360,four
531,526,370,four
508,484,380,four
527,526,390,four
548,526,400,four
530,497,410,four
528,492,420,four
529,502,430,four
504,504,440,four
540,499,450,four
520,484,460,four
514,512,470,four
511,521,480,four
520,515,490,four
544,523,500,four
541,511,510,four
537,514,520,four
531,501,530,four
534,522,540,four
520,518,550,four
541,491,560,four
512,529,570,four
509,494,580,four
542,499,590,four
538,497,600,four
535,527,610,four
533,486,620,four
535,483,630,four
515,489,640,four
513,521,650,four
528,486,660,four
503,485,670,four
507,499,680,four
523,508,690,four
541,480,700,four
503,509,710,four
519,484,720,four
536,480,730,four
532,509,740,four
533,484,750,four
531,525,760,four
513,521,770,four
548,529,780,four
522,485,790,four
505,483,800,four
526,491,810,four
539,483,820,four
532,485,830,four
528,492,840,four
504,500,850,four
526,519,860,four
508,497,870,four
541,494,880,four
524,527,890,four
547,506,900,four
505,510,910,four
506,493,920,four
533,517,930,four
510,489,940,four
536,504,950,four
541,506,960,four
535,514,970,four
523,494,980,four
523,487,990,four
538,494,1000,four
530,496,1010,four
510,505,1020,four
540,501,1030,four
538,514,1040,four
547,501,1050,four
541,515,1060,four
540,527,1070,four
520,521,1080,four
547,508,1090,four
505,488,1100,four
546,490,1110,four
502,503,1120,four
507,480,1130,four
511,523,1140,four
533,508,1150,four
510,481,1160,four
542,486,1170,four
536,518,1180,four
537,516,1190,four
543,492,1200,four
543,507,1210,four
528,488,1220,four
517,517,1230,four
502,490,1240,four
543,511,1250,four
548,494,1260,four
529,495,1270,four
530,480,1280,four
518,522,1290,four
506,511,1300,four
545,506,1310,four
545,514,1320,four
530,499,1330,four
504,519,1340,four
540,481,1350,four
522,515,1360,four
524,521,1370,four
545,520,1380,four
522,509,1390,four
549,504,1400,four
521,521,1410,four
511,510,1420,four
543,501,1430,four
519,508,1440,four
525,497,1450,four
532,493,1460,four
534,520,1470,four
535,497,1480,four
521,484,1490,four
504,511,1500,four
532,529,1510,four
500,495,1520,four
532,518,1530,four
547,490,1540,four
507,490,1550,four
511,488,1560,four
500,492,1570,four
502,493,1580,four
506,486,1590,four
549,515,1600,four
522,509,1610,four
518,512,1620,four
500,523,1630,four
510,514,1640,four
536,486,1650,four
525,522,1660,four
536,516,1670,four
517,487,1680,four
533,499,1690,four
543,498,1700,four
501,480,1710,four
536,493,1720,four
529,520,1730,four
538,522,1740,four
538,510,1750,four
542,496,1760,four
521,492,1770,four
531,491,1780,four
511,487,1790,four
536,498,1800,four
506,513,1810,four
505,509,1820,four
520,487,1830,four
515,512,1840,four
510,484,1850,four
512,493,1860,four
545,502,1870,four
547,482,1880,four
539,525,1890,four
528,493,1900,four
518,513,1910,four
545,505,1920,four
534,495,1930,four
518,508,1940,four
536,519,1950,four
534,493,1960,four
541,489,1970,four
509,517,1980,four
537,527,1990,four
509,512,2000,four
538,487,2010,four
515,497,2020,four
500,511,2030,four
530,485,2040,four
545,481,2050,four
530,511,2060,four
515,514,2070,four
512,497,2080,four
546,494,2090,four
501,506,2100,four
520,528,2110,four
508,504,2120,four
528,504,2130,four
531,502,2140,four
516,511,2150,four
532,481,2160,four
515,510,2170,four
544,523,2180,four
504,525,2190,four
536,514,2200,four
534,525,2210,four
501,528,2220,four
548,527,2230,four
506,485,2240,four
549,513,2250,four
504,502,2260,four
509,493,2270,four
539,510,2280,four
525,529,2290,four
508,487,2300,four
504,513,2310,four
510,488,2320,four
524,486,2330,four
531,480,2340,four
547,520,2350,four
541,502,2360,four
516,480,2370,four
535,492,2380,four
549,482,2390,four
537,513,2400,four
528,522,2410,four
543,517,2420,four
521,503,2430,four
544,513,2440,four
528,484,2450,four
520,495,2460,four
547,493,2470,four
544,498,2480,four
540,482,2490,four
545,485,2500,four
512,484,2510,four
518,483,2520,four
520,493,2530,four
539,518,2540,four
536,492,2550,four
547,486,2560,four
521,507,2570,four
537,480,2580,four
518,482,2590,four
505,515,2600,four
527,514,2610,four
534,495,2620,four
508,508,2630,four
502,482,2640,four
547,490,2650,four
545,497,2660,four
542,517,2670,four
535,482,2680,four
505,522,2690,four
504,524,2700,four
511,499,2710,four
545,489,2720,four
527,520,2730,four
525,480,2740,four
535,514,2750,four
509,520,2760,four
547,527,2770,four
529,516,2780,four
511,505,2790,four
530,507,2800,four
521,502,2810,four
520,517,2820,four
544,506,2830,four
534,501,2840,four
529,487,2850,four
531,528,2860,four
506,500,2870,four
520,512,2880,four
535,511,2890,four
527,499,2900,four
508,524,2910,four
538,504,2920,four
534,527,2930,four
538,523,2940,four
527,511,2950,four
508,499,2960,four
534,493,2970,four
540,492,2980,four
523,524,2990,four
548,508,3000,four
525,507,3010,four
547,521,3020,four
532,489,3030,four
536,493,3040,four
539,518,3050,four
530,499,3060,four
532,528,3070,four
532,501,3080,four
504,528,3090,four
534,519,3100,four
526,520,3110,four
509,511,3120,four
541,515,3130,four
511,496,3140,four
532,504,3150,four
518,501,3160,four
540,516,3170,four
540,511,3180,four
518,508,3190,four
534,506,3200,four
518,494,3210,four
519,526,3220,four
545,483,3230,four
500,516,3240,four
505,489,3250,four
511,500,3260,four
546,481,3270,four
540,485,3280,four
510,520,3290,four
540,483,3300,four
514,493,3310,four
502,513,3320,four
514,493,3330,four
506,481,3340,four
513,501,3350,four
516,519,3360,four
537,509,3370,four
545,485,3380,four
521,504,3390,four
540,513,3400,four
522,510,3410,four
543,496,3420,four
525,512,3430,four
547,495,3440,four
514,513,3450,four
546,523,3460,four
545,519,3470,four
511,489,3480,four
520,480,3490,four
524,480,3500,four
540,516,3510,four
542,492,3520,four
506,489,3530,four
505,524,3540,four
547,509,3550,four
508,523,3560,four
513,493,3570,four
511,485,3580,four
523,510,3590,four
525,520,3600,four
539,527,3610,four
539,487,3620,four
523,484,3630,four
540,491,3640,four
524,490,3650,four
537,521,3660,four
536,498,3670,four
510,481,3680,four
538,521,3690,four
508,521,3700,four
503,500,3710,four
530,505,3720,four
538,509,3730,four
527,523,3740,four
538,498,3750,four
533,518,3760,four
539,511,3770,four
515,515,3780,four
509,480,3790,four
504,528,3800,four
512,490,3810,four
504,500,3820,four
516,503,3830,four
533,528,3840,four
507,505,3850,four
521,515,3860,four
505,508,3870,four
540,512,3880,four
525,526,3890,four
547,516,3900,four
515,517,3910,four
548,506,3920,four
501,516,3930,four
535,486,3940,four
536,484,3950,four
507,484,3960,four
533,491,3970,four
511,525,3980,four
545,525,3990,four
527,524,4000,four
503,487,4010,four
502,501,4020,four
511,512,4030,four
511,529,4040,four
510,499,4050,four
539,518,4060,four
544,480,4070,four
520,527,4080,four
548,499,4090,four
517,522,4100,four
535,520,4110,four
534,491,4120,four
529,509,4130,four
531,484,4140,four
511,507,4150,four
512,496,4160,four
504,498,4170,four
500,498,4180,four
