ch1,ch2,timestamp_ms,label
527,517,0,okay
544,525,10,okay
529,483,20,okay
538,509,30,okay
509,504,40,okay
505,513,50,okay
500,484,60,okay
521,525,70,okay
545,524,80,okay
514,503,90,okay
521,484,100,okay
530,503,110,okay
530,492,120,okay
525,496,130,okay
506,512,140,okay
518,520,150,okay
505,497,160,okay
503,512,170,okay
501,497,180,okay
549,522,190,okay
532,494,200,okay
509,487,210,okay
509,520,220,okay
533,508,230,okay
519,501,240,okay
521,485,250,okay
522,520,260,okay
532,524,270,okay
534,514,280,okay
545,491,290,okay
505,500,300,okay
518,521,310,okay
506,517,320,okay
535,506,330,okay
513,521,340,okay
542,510,350,okay
545,514,360,okay
521,503,370,okay
546,502,380,okay
534,495,390,okay
502,502,400,okay
518,523,410,okay
542,510,420,okay
531,515,430,okay
544,509,440,okay
508,483,450,okay
505,496,460,okay
507,516,470,okay
510,481,480,okay
533,490,490,okay
533,504,500,okay
511,512,510,okay
506,514,520,okay
517,497,530,okay
509,499,540,okay
535,485,550,okay
539,514,560,okay
501,485,570,okay
514,494,580,okay
548,488,590,okay
516,517,600,okay
518,484,610,okay
542,481,620,okay
503,495,630,okay
516,490,640,okay
518,511,650,okay
544,505,660,okay
502,494,670,okay
515,510,680,okay
539,507,690,okay
542,521,700,okay
535,506,710,okay
502,528,720,okay
504,506,730,okay
549,510,740,okay
541,517,750,okay
540,500,760,okay
513,520,770,okay
541,522,780,okay
549,507,790,okay
507,526,800,okay
539,504,810,okay
521,529,820,okay
511,528,830,okay
541,482,840,okay
501,529,850,okay
525,501,860,okay
513,513,870,okay
547,520,880,okay
544,483,890,okay
513,495,900,okay
538,509,910,okay
528,518,920,okay
500,494,930,okay
518,499,940,okay
530,509,950,okay
523,515,960,okay
545,518,970,okay
540,500,980,okay
500,529,990,okay
502,502,1000,okay
521,504,1010,okay
500,507,1020,okay
537,529,1030,okay
536,519,1040,okay
511,513,1050,okay
540,520,1060,okay
530,494,1070,okay
536,529,1080,okay
536,485,1090,okay
531,497,1100,okay
523,529,1110,okay
528,499,1120,okay
522,494,1130,okay
500,501,1140,okay
534,508,1150,okay
535,487,1160,okay
548,524,1170,okay
536,487,1180,okay
538,509,1190,okay
533,496,1200,okay
542,526,1210,okay
533,483,1220,okay
533,507,1230,okay
537,511,1240,okay
544,484,1250,okay
508,516,1260,okay
519,495,1270,okay
524,522,1280,okay
525,507,1290,okay
500,484,1300,okay
549,522,1310,okay
510,524,1320,okay
519,523,1330,okay
505,529,1340,okay
531,489,1350,okay
534,514,1360,okay
506,515,1370,okay
534,525,1380,okay
525,527,1390,okay
514,508,1400,okay
523,512,1410,okay
545,519,1420,okay
534,485,1430,okay
507,523,1440,okay
543,521,1450,okay
535,515,1460,okay
523,483,1470,okay
535,494,1480,okay
505,492,1490,okay
518,524,1500,okay
513,502,1510,okay
541,514,1520,okay
544,480,1530,okay
542,504,1540,okay
522,481,1550,okay
523,509,1560,okay
531,495,1570,okay
502,523,1580,okay
539,518,1590,okay
535,499,1600,okay
521,522,1610,okay
517,498,1620,okay
547,491,1630,okay
535,525,1640,okay
517,497,1650,okay
510,512,1660,okay
539,528,1670,okay
500,503,1680,okay
541,481,1690,okay
541,518,1700,okay
538,499,1710,okay
524,504,1720,okay
511,511,1730,okay
529,525,1740,okay
534,483,1750,okay
503,483,1760,okay
530,493,1770,okay
