ch1,ch2,timestamp_ms,label
501,494,0,rest
528,493,10,rest
527,508,20,rest
540,483,30,rest
515,494,40,rest
500,510,50,rest
541,517,60,rest
513,498,70,rest
515,524,80,rest
545,495,90,rest
503,500,100,rest
500,517,110,rest
547,517,120,rest
504,510,130,rest
534,506,140,rest
536,491,150,rest
514,502,160,rest
545,528,170,rest
504,481,180,rest
505,486,190,rest
525,529,200,rest
531,508,210,rest
549,496,220,rest
501,515,230,rest
527,482,240,rest
522,517,250,rest
537,506,260,rest
542,509,270,rest
543,517,280,rest
533,506,290,rest
540,484,300,rest
524,510,310,rest
506,484,320,rest
513,505,330,rest
547,523,340,rest
543,497,350,rest
542,517,360,rest
524,509,370,rest
504,522,380,rest
524,480,390,rest
526,511,400,rest
539,484,410,rest
527,515,420,rest
510,489,430,rest
534,484,440,rest
512,518,450,rest
517,522,460,rest
545,496,470,rest
535,523,480,rest
528,507,490,rest
529,483,500,rest
536,482,510,rest
511,487,520,rest
529,523,530,rest
531,524,540,rest
508,510,550,rest
501,494,560,rest
512,516,570,rest
539,520,580,rest
522,488,590,rest
540,522,600,rest
503,510,610,rest
531,496,620,rest
510,519,630,rest
538,494,640,rest
527,522,650,rest
545,495,660,rest
521,489,670,rest
509,522,680,rest
529,486,690,rest
545,529,700,rest
546,514,710,rest
539,505,720,rest
542,523,730,rest
505,525,740,rest
514,521,750,rest
508,499,760,rest
515,517,770,rest
511,517,780,rest
548,493,790,rest
520,502,800,rest
515,518,810,rest
524,514,820,rest
511,521,830,rest
543,498,840,rest
542,499,850,rest
504,521,860,rest
516,506,870,rest
524,526,880,rest
541,484,890,rest
523,494,900,rest
506,492,910,rest
517,491,920,rest
540,482,930,rest
503,514,940,rest
502,487,950,rest
513,488,960,rest
532,518,970,rest
507,523,980,rest
513,482,990,rest
530,501,1000,rest
513,517,1010,rest
533,523,1020,rest
530,504,1030,rest
523,487,1040,rest
514,521,1050,rest
526,481,1060,rest
501,480,1070,rest
524,490,1080,rest
534,510,1090,rest
502,525,1100,rest
516,515,1110,rest
529,525,1120,rest
523,522,1130,rest
510,518,1140,rest
518,488,1150,rest
524,511,1160,rest
501,499,1170,rest
543,508,1180,rest
514,520,1190,rest
509,502,1200,rest
527,509,1210,rest
517,524,1220,rest
515,518,1230,rest
536,499,1240,rest
549,486,1250,rest
510,522,1260,rest
521,509,1270,rest
511,493,1280,rest
533,480,1290,rest
508,513,1300,rest
506,480,1310,rest
549,510,1320,rest
518,491,1330,rest
511,499,1340,rest
529,529,1350,rest
537,484,1360,rest
546,521,1370,rest
517,482,1380,rest
521,489,1390,rest
533,505,1400,rest
512,517,1410,rest
535,517,1420,rest
502,521,1430,rest
504,496,1440,rest
512,508,1450,rest
513,521,1460,rest
508,518,1470,rest
517,527,1480,rest
520,484,1490,rest
510,525,1500,rest
530,494,1510,rest
501,511,1520,rest
512,500,1530,rest
545,494,1540,rest
534,487,1550,rest
515,509,1560,rest
526,512,1570,rest
515,524,1580,rest
511,519,1590,rest
506,503,1600,rest
533,496,1610,rest
512,481,1620,rest
520,514,1630,rest
537,521,1640,rest
507,490,1650,rest
520,510,1660,rest
521,487,1670,rest
545,517,1680,rest
528,522,1690,rest
539,522,1700,rest
514,489,1710,rest
505,512,1720,rest
508,524,1730,rest
518,519,1740,rest
501,512,1750,rest
510,484,1760,rest
505,526,1770,rest
519,510,1780,rest
