ch1,ch2,timestamp_ms,label
511,495,0,spread
515,523,10,spread
548,501,20,spread
543,483,30,spread
521,509,40,spread
526,520,50,spread
507,507,60,spread
529,504,70,spread
519,504,80,spread
535,525,90,spread
523,513,100,spread
508,484,110,spread
513,519,120,spread
512,518,130,spread
542,500,140,spread
515,512,150,spread
548,480,160,spread
530,523,170,spread
516,500,180,spread
535,516,190,spread
549,483,200,spread
537,522,210,spread
510,491,220,spread
536,481,230,spread
539,519,240,spread
522,493,250,spread
503,517,260,spread
536,529,270,spread
502,524,280,spread
503,499,290,spread
516,491,300,spread
520,480,310,spread
535,486,320,spread
519,513,330,spread
500,509,340,spread
525,488,350,spread
547,485,360,spread
511,493,370,spread
528,489,380,spread
501,486,390,spread
528,499,400,spread
526,509,410,spread
548,529,420,spread
542,489,430,spread
540,480,440,spread
529,512,450,spread
518,501,460,spread
532,526,470,spread
528,525,480,spread
507,491,490,spread
516,507,500,spread
502,488,510,spread
506,480,520,spread
546,520,530,spread
531,520,540,spread
535,525,550,spread
545,498,560,spread
521,499,570,spread
538,496,580,spread
506,490,590,spread
540,504,600,spread
503,523,610,spread
514,512,620,spread
505,510,630,spread
545,506,640,spread
504,503,650,spread
503,521,660,spread
528,486,670,spread
513,507,680,spread
513,492,690,spread
501,520,700,spread
514,486,710,spread
516,512,720,spread
529,486,730,spread
545,516,740,spread
530,516,750,spread
531,490,760,spread
520,521,770,spread
548,488,780,spread
504,503,790,spread
523,520,800,spread
523,519,810,spread
533,519,820,spread
544,500,830,spread
504,498,840,spread
537,484,850,spread
535,505,860,spread
544,492,870,spread
525,520,880,spread
503,493,890,spread
530,525,900,spread
515,495,910,spread
536,482,920,spread
538,526,930,spread
522,496,940,spread
524,494,950,spread
539,498,960,spread
540,523,970,spread
542,526,980,spread
509,517,990,spread
536,529,1000,spread
526,480,1010,spread
533,512,1020,spread
537,504,1030,spread
525,487,1040,spread
536,519,1050,spread
518,486,1060,spread
512,510,1070,spread
534,482,1080,spread
520,484,1090,spread
528,518,1100,spread
547,514,1110,spread
530,522,1120,spread
548,489,1130,spread
538,529,1140,spread
539,501,1150,spread
543,496,1160,spread
515,512,1170,spread
502,481,1180,spread
505,489,1190,spread
516,514,1200,spread
533,480,1210,spread
533,493,1220,spread
508,481,1230,spread
520,492,1240,spread
509,489,1250,spread
505,502,1260,spread
501,483,1270,spread
506,502,1280,spread
511,514,1290,spread
539,483,1300,spread
505,483,1310,spread
526,486,1320,spread
520,488,1330,spread
500,498,1340,spread
515,510,1350,spread
500,516,1360,spread
524,524,1370,spread
522,485,1380,spread
548,493,1390,spread
537,502,1400,spread
547,515,1410,spread
532,498,1420,spread
504,521,1430,spread
509,492,1440,spread
538,509,1450,spread
537,509,1460,spread
524,505,1470,spread
546,488,1480,spread
502,497,1490,spread
511,517,1500,spread
501,502,1510,spread
516,508,1520,spread
530,506,1530,spread
530,527,1540,spread
530,525,1550,spread
539,512,1560,spread
530,523,1570,spread
511,514,1580,spread
525,490,1590,spread
504,485,1600,spread
501,529,1610,spread
500,500,1620,spread
544,528,1630,spread
514,487,1640,spread
526,521,1650,spread
535,512,1660,spread
504,507,1670,spread
507,487,1680,spread
524,496,1690,spread
529,485,1700,spread
535,487,1710,spread
531,512,1720,spread
503,489,1730,spread
532,480,1740,spread
512,488,1750,spread
530,490,1760,spread
518,513,1770,spread
515,507,1780,spread
510,515,1790,spread
507,515,1800,spread
548,492,1810,spread
526,511,1820,spread
541,523,1830,spread
524,494,1840,spread
546,519,1850,spread
539,521,1860,spread
547,496,1870,spread
527,519,1880,spread
535,489,1890,spread
518,487,1900,spread
501,500,1910,spread
521,522,1920,spread
522,489,1930,spread
546,509,1940,spread
543,511,1950,spread
507,519,1960,spread
524,513,1970,spread
504,495,1980,spread
538,525,1990,spread
525,498,2000,spread
512,490,2010,spread
524,485,2020,spread
545,507,2030,spread
545,483,2040,spread
513,514,2050,spread
501,489,2060,spread
548,497,2070,spread
536,527,2080,spread
542,481,2090,spread
538,486,2100,spread
536,501,2110,spread
508,520,2120,spread
518,507,2130,spread
519,492,2140,spread
519,505,2150,spread
545,489,2160,spread
527,506,2170,spread
535,481,2180,spread
516,500,2190,spread
532,513,2200,spread
518,515,2210,spread
524,499,2220,spread
514,480,2230,spread
538,496,2240,spread
527,525,2250,spread
545,514,2260,spread
538,490,2270,spread
507,502,2280,spread
530,519,2290,spread
513,525,2300,spread
542,498,2310,spread
508,518,2320,spread
530,505,2330,spread
542,480,2340,spread
510,520,2350,spread
517,499,2360,spread
528,500,2370,spread
537,503,2380,spread
526,515,2390,spread
539,519,2400,spread
508,492,2410,spread
535,516,2420,spread
519,521,2430,spread
542,504,2440,spread
534,512,2450,spread
500,506,2460,spread
504,524,2470,spread
543,482,2480,spread
519,507,2490,spread
531,512,2500,spread
500,485,2510,spread
533,492,2520,spread
535,525,2530,spread
518,516,2540,spread
528,480,2550,spread
509,518,2560,spread
507,510,2570,spread
509,512,2580,spread
516,519,2590,spread
531,491,2600,spread
515,501,2610,spread
531,484,2620,spread
529,507,2630,spread
533,527,2640,spread
500,519,2650,spread
546,486,2660,spread
536,521,2670,spread
520,504,2680,spread
