ch1,ch2,timestamp_ms,label
517,487,0,three
537,529,10,three
547,525,20,three
538,528,30,three
507,500,40,three
533,497,50,three
533,510,60,three
512,500,70,three
507,524,80,three
510,489,90,three
538,496,100,three
538,521,110,three
500,480,120,three
521,523,130,three
527,499,140,three
510,506,150,three
537,528,160,three
543,497,170,three
527,495,180,three
522,486,190,three
528,519,200,three
547,502,210,three
522,513,220,three
508,511,230,three
525,514,240,three
533,501,250,three
505,503,260,three
507,514,270,three
531,480,280,three
511,516,290,three
515,484,300,three
512,483,310,three
532,482,320,three
507,509,330,three
538,496,340,three
507,500,350,three
525,526,360,three
505,503,370,three
500,502,380,three
525,507,390,three
512,524,400,three
505,494,410,three
512,514,420,three
502,509,430,three
546,529,440,three
508,493,450,three
505,482,460,three
504,523,470,three
541,527,480,three
529,525,490,three
527,522,500,three
527,524,510,three
506,490,520,three
523,503,530,three
511,492,540,three
507,488,550,three
515,507,560,three
510,517,570,three
548,513,580,three
542,519,590,three
518,489,600,three
535,482,610,three
516,496,620,three
544,518,630,three
503,502,640,three
530,521,650,three
533,524,660,three
526,513,670,three
547,495,680,three
533,486,690,three
513,485,700,three
520,522,710,three
526,503,720,three
529,522,730,three
532,514,740,three
546,522,750,three
542,525,760,three
504,491,770,three
526,529,780,three
513,489,790,three
543,492,800,three
511,484,810,three
537,521,820,three
528,496,830,three
543,527,840,three
534,504,850,three
519,482,860,three
510,528,870,three
525,508,880,three
501,496,890,three
548,507,900,three
528,524,910,three
520,488,920,three
526,493,930,three
511,504,940,three
518,494,950,three
515,515,960,three
527,516,970,three
527,499,980,three
518,513,990,three
530,480,1000,three
543,523,1010,three
506,496,1020,three
504,500,1030,three
516,480,1040,three
545,510,1050,three
521,512,1060,three
534,499,1070,three
519,509,1080,three
512,525,1090,three
535,494,1100,three
519,497,1110,three
537,514,1120,three
513,506,1130,three
508,483,1140,three
519,492,1150,three
511,513,1160,three
548,508,1170,three
515,529,1180,three
535,497,1190,three
501,504,1200,three
529,504,1210,three
514,481,1220,three
545,496,1230,three
544,528,1240,three
513,503,1250,three
546,482,1260,three
530,518,1270,three
512,504,1280,three
540,514,1290,three
505,494,1300,three
526,497,1310,three
519,513,1320,three
511,510,1330,three
521,485,1340,three
515,513,1350,three
502,522,1360,three
537,505,1370,three
531,495,1380,three
510,512,1390,three
503,481,1400,three
548,508,1410,three
545,521,1420,three
530,507,1430,three
539,504,1440,three
531,482,1450,three
501,495,1460,three
511,508,1470,three
527,481,1480,three
504,504,1490,three
511,518,1500,three
535,493,1510,three
526,524,1520,three
542,500,1530,three
546,480,1540,three
526,522,1550,three
506,481,1560,three
534,495,1570,three
537,500,1580,three
517,498,1590,three
523,500,1600,three
543,489,1610,three
527,519,1620,three
523,527,1630,three
525,513,1640,three
519,481,1650,three
507,490,1660,three
519,513,1670,three
538,482,1680,three
509,512,1690,three
549,494,1700,three
508,512,1710,three
547,482,1720,three
509,522,1730,three
537,528,1740,three
538,516,1750,three
529,517,1760,three
540,505,1770,three
540,493,1780,three
548,491,1790,three
541,485,1800,three
519,495,1810,three
535,514,1820,three
535,512,1830,three
541,490,1840,three
522,499,1850,three
540,485,1860,three
517,491,1870,three
538,498,1880,three
509,486,1890,three
531,502,1900,three
524,525,1910,three
535,491,1920,three
517,521,1930,three
526,497,1940,three
511,492,1950,three
542,485,1960,three
537,516,1970,three
528,502,1980,three
515,506,1990,three
512,497,2000,three
508,488,2010,three
535,508,2020,three
525,488,2030,three
502,518,2040,three
505,491,2050,three
533,516,2060,three
527,523,2070,three
530,502,2080,three
531,489,2090,three
518,496,2100,three
514,494,2110,three
533,503,2120,three
533,511,2130,three
535,508,2140,three
514,504,2150,three
524,523,2160,three
528,524,2170,three
529,505,2180,three
549,513,2190,three
530,528,2200,three
506,507,2210,three
511,495,2220,three
522,494,2230,three
533,523,2240,three
506,520,2250,three
533,519,2260,three
511,512,2270,three
534,494,2280,three
508,491,2290,three
511,485,2300,three
540,520,2310,three
549,481,2320,three
516,506,2330,three
503,526,2340,three
544,493,2350,three
544,522,2360,three
538,495,2370,three
509,489,2380,three
544,525,2390,three
518,487,2400,three
545,521,2410,three
533,482,2420,three
509,512,2430,three
501,482,2440,three
540,506,2450,three
527,486,2460,three
524,480,2470,three
521,519,2480,three
522,491,2490,three
501,495,2500,three
523,497,2510,three
549,492,2520,three
542,504,2530,three
519,498,2540,three
512,526,2550,three
529,516,2560,three
504,523,2570,three
522,525,2580,three
537,495,2590,three
502,528,2600,three
536,508,2610,three
545,516,2620,three
535,485,2630,three
542,483,2640,three
506,484,2650,three
509,485,2660,three
527,521,2670,three
533,504,2680,three
505,492,2690,three
526,490,2700,three
547,506,2710,three
513,511,2720,three
528,490,2730,three
541,490,2740,three
525,498,2750,three
541,485,2760,three
531,521,2770,three
548,498,2780,three
548,524,2790,three
542,482,2800,three
532,496,2810,three
513,524,2820,three
513,506,2830,three
547,498,2840,three
512,513,2850,three
510,506,2860,three
528,494,2870,three
503,495,2880,three
521,496,2890,three
523,518,2900,three
540,514,2910,three
503,491,2920,three
546,491,2930,three
542,513,2940,three
502,482,2950,three
513,507,2960,three
530,523,2970,three
521,518,2980,three
517,506,2990,three
517,487,3000,three
524,492,3010,three
500,507,3020,three
504,519,3030,three
506,490,3040,three
540,503,3050,three
523,498,3060,three
505,494,3070,three
522,514,3080,three
513,504,3090,three
505,504,3100,three
520,517,3110,three
516,502,3120,three
518,528,3130,three
502,512,3140,three
544,484,3150,three
510,496,3160,three
520,519,3170,three
543,480,3180,three
509,509,3190,three
516,518,3200,three
519,495,3210,three
523,521,3220,three
510,513,3230,three
526,500,3240,three
540,482,3250,three
549,501,3260,three
548,490,3270,three
540,526,3280,three
507,498,3290,three
531,493,3300,three
534,504,3310,three
531,521,3320,three
525,486,3330,three
538,517,3340,three
527,480,3350,three
529,513,3360,three
523,483,3370,three
509,495,3380,three
508,485,3390,three
528,501,3400,three
507,515,3410,three
513,506,3420,three
533,512,3430,three
536,482,3440,three
507,510,3450,three
515,489,3460,three
530,519,3470,three
526,525,3480,three
509,509,3490,three
540,505,3500,three
526,525,3510,three
512,503,3520,three
512,516,3530,three
524,517,3540,three
532,516,3550,three
531,513,3560,three
518,487,3570,three
519,503,3580,three
541,506,3590,three
523,515,3600,three
518,521,3610,three
506,528,3620,three
532,515,3630,three
513,480,3640,three
512,492,3650,three
537,500,3660,three
512,493,3670,three
536,518,3680,three
544,519,3690,three
508,497,3700,three
538,482,3710,three
546,505,3720,three
536,483,3730,three
502,494,3740,three
531,518,3750,three
533,506,3760,three
509,496,3770,three
518,492,3780,three
505,503,3790,three
546,496,3800,three
509,515,3810,three
527,502,3820,three
523,492,3830,three
532,506,3840,three
508,514,3850,three
527,487,3860,three
520,506,3870,three
512,502,3880,three
547,509,3890,three
537,521,3900,three
526,491,3910,three
512,488,3920,three
529,508,3930,three
517,486,3940,three
538,505,3950,three
529,524,3960,three
524,498,3970,three
501,501,3980,three
500,510,3990,three
524,485,4000,three
527,481,4010,three
510,502,4020,three
511,521,4030,three
519,520,4040,three
503,492,4050,three
545,525,4060,three
505,483,4070,three
546,507,4080,three
520,511,4090,three
507,528,4100,three
543,528,4110,three
509,486,4120,three
516,517,4130,three
547,514,4140,three
522,510,4150,three
539,520,4160,three
539,517,4170,three
536,502,4180,three
531,488,4190,three
534,495,4200,three
527,521,4210,three
507,520,4220,three
500,527,4230,three
540,516,4240,three
541,494,4250,three
517,490,4260,three
548,486,4270,three
540,480,4280,three
502,499,4290,three
512,524,4300,three
539,490,4310,three
532,488,4320,three
510,511,4330,three
534,485,4340,three
513,504,4350,three
541,510,4360,three
511,490,4370,three
519,505,4380,three
504,511,4390,three
539,501,4400,three
518,511,4410,three
531,496,4420,three
538,507,4430,three
540,517,4440,three
540,496,4450,three
526,517,4460,three
534,480,4470,three
533,507,4480,three
502,486,4490,three
543,494,4500,three
514,484,4510,three
548,501,4520,three
513,502,4530,three
532,499,4540,three
515,502,4550,three
509,487,4560,three
520,524,4570,three
517,502,4580,three
511,523,4590,three
525,525,4600,three
507,524,4610,three
542,487,4620,three
538,485,4630,three
529,529,4640,three
514,493,4650,three
507,529,4660,three
517,517,4670,three
546,506,4680,three
525,505,4690,three
518,491,4700,three
549,487,4710,three
522,488,4720,three
508,517,4730,three
530,506,4740,three
504,497,4750,three
530,480,4760,three
541,497,4770,three
516,495,4780,three
516,488,4790,three
526,508,4800,three
525,489,4810,three
507,506,4820,three
530,512,4830,three
507,495,4840,three
529,488,4850,three
536,508,4860,three
527,492,4870,three
528,510,4880,three
531,497,4890,three
529,512,4900,three
500,499,4910,three
503,500,4920,three
524,506,4930,three
529,504,4940,three
502,526,4950,three
512,525,4960,three
545,516,4970,three
531,523,4980,three
512,494,4990,three
538,480,5000,three
511,494,5010,three
513,522,5020,three
515,486,5030,three
545,492,5040,three
507,509,5050,three
519,499,5060,three
539,503,5070,three
529,497,5080,three
539,490,5090,three
549,481,5100,three
517,521,5110,three
500,526,5120,three
513,527,5130,three
502,517,5140,three
509,499,5150,three
538,511,5160,three
533,516,5170,three
544,527,5180,three
523,504,5190,three
512,482,5200,three
516,495,5210,three
533,482,5220,three
512,507,5230,three
507,500,5240,three
542,510,5250,three
516,505,5260,three
508,523,5270,three
538,525,5280,three
518,501,5290,three
539,488,5300,three
546,515,5310,three
537,497,5320,three
549,494,5330,three
547,492,5340,three
526,486,5350,three
546,528,5360,three
504,504,5370,three
527,527,5380,three
547,520,5390,three
520,520,5400,three
516,527,5410,three
505,518,5420,three
518,503,5430,three
526,483,5440,three
531,499,5450,three
523,497,5460,three
509,528,5470,three
502,510,5480,three
505,514,5490,three
542,503,5500,three
513,494,5510,three
526,482,5520,three
543,498,5530,three
513,493,5540,three
526,505,5550,three
514,500,5560,three
532,506,5570,three
511,516,5580,three
500,526,5590,three
500,505,5600,three
504,518,5610,three
507,514,5620,three
542,495,5630,three
509,510,5640,three
507,504,5650,three
539,491,5660,three
546,497,5670,three
547,485,5680,three
529,481,5690,three
519,505,5700,three
517,502,5710,three
511,482,5720,three
532,514,5730,three
520,494,5740,three
520,482,5750,three
526,523,5760,three
515,495,5770,three
548,524,5780,three
531,500,5790,three
508,514,5800,three
509,483,5810,three
533,492,5820,three
