ch1,ch2,timestamp_ms,label
546,485,0,thumb
507,515,10,thumb
527,521,20,thumb
513,480,30,thumb
509,492,40,thumb
524,483,50,thumb
502,486,60,thumb
501,503,70,thumb
544,513,80,thumb
510,503,90,thumb
512,486,100,thumb
539,486,110,thumb
512,490,120,thumb
526,521,130,thumb
508,480,140,thumb
518,521,150,thumb
542,507,160,thumb
527,514,170,thumb
513,497,180,thumb
511,516,190,thumb
512,507,200,thumb
527,517,210,thumb
545,522,220,thumb
516,523,230,thumb
529,523,240,thumb
539,512,250,thumb
543,488,260,thumb
500,517,270,thumb
504,518,280,thumb
510,508,290,thumb
543,504,300,thumb
513,496,310,thumb
518,518,320,thumb
524,482,330,thumb
521,509,340,thumb
544,517,350,thumb
549,492,360,thumb
527,514,370,thumb
505,519,380,thumb
522,507,390,thumb
547,500,400,thumb
503,490,410,thumb
544,504,420,thumb
507,513,430,thumb
509,505,440,thumb
512,500,450,thumb
545,499,460,thumb
545,526,470,thumb
510,484,480,thumb
511,506,490,thumb
508,490,500,thumb
525,484,510,thumb
549,492,520,thumb
520,507,530,thumb
507,498,540,thumb
523,510,550,thumb
528,507,560,thumb
539,502,570,thumb
533,507,580,thumb
538,519,590,thumb
536,486,600,thumb
523,489,610,thumb
508,500,620,thumb
526,486,630,thumb
515,518,640,thumb
541,503,650,thumb
525,499,660,thumb
541,504,670,thumb
526,501,680,thumb
509,498,690,thumb
546,511,700,thumb
503,497,710,thumb
505,526,720,thumb
541,502,730,thumb
502,510,740,thumb
542,494,750,thumb
515,494,760,thumb
524,485,770,thumb
509,500,780,thumb
515,507,790,thumb
525,482,800,thumb
505,495,810,thumb
516,520,820,thumb
547,484,830,thumb
538,512,840,thumb
543,529,850,thumb
513,517,860,thumb
531,485,870,thumb
548,492,880,thumb
529,506,890,thumb
505,503,900,thumb
523,519,910,thumb
502,487,920,thumb
527,506,930,thumb
523,505,940,thumb
524,499,950,thumb
525,491,960,thumb
503,498,970,thumb
502,513,980,thumb
507,499,990,thumb
524,520,1000,thumb
509,498,1010,thumb
507,511,1020,thumb
519,528,1030,thumb
548,514,1040,thumb
540,499,1050,thumb
538,493,1060,thumb
549,506,1070,thumb
543,497,1080,thumb
543,501,1090,thumb
507,492,1100,thumb
548,527,1110,thumb
509,515,1120,thumb
524,525,1130,thumb
548,524,1140,thumb
543,512,1150,thumb
530,500,1160,thumb
527,502,1170,thumb
501,490,1180,thumb
539,503,1190,thumb
507,518,1200,thumb
539,495,1210,thumb
521,511,1220,thumb
511,513,1230,thumb
546,488,1240,thumb
542,506,1250,thumb
547,502,1260,thumb
512,481,1270,thumb
531,513,1280,thumb
519,525,1290,thumb
529,527,1300,thumb
536,528,1310,thumb
527,495,1320,thumb
501,480,1330,thumb
540,504,1340,thumb
507,493,1350,thumb
503,522,1360,thumb
544,499,1370,thumb
525,494,1380,thumb
500,488,1390,thumb
529,480,1400,thumb
511,487,1410,thumb
517,512,1420,thumb
507,494,1430,thumb
521,526,1440,thumb
542,503,1450,thumb
504,482,1460,thumb
540,499,1470,thumb
536,495,1480,thumb
532,491,1490,thumb
516,521,1500,thumb
503,523,1510,thumb
515,504,1520,thumb
547,481,1530,thumb
511,518,1540,thumb
500,506,1550,thumb
518,519,1560,thumb
526,529,1570,thumb
503,524,1580,thumb
501,500,1590,thumb
519,507,1600,thumb
548,516,1610,thumb
525,515,1620,thumb
519,482,1630,thumb
549,521,1640,thumb
528,495,1650,thumb
527,513,1660,thumb
518,505,1670,thumb
538,498,1680,thumb
517,528,1690,thumb
543,499,1700,thumb
536,522,1710,thumb
517,487,1720,thumb
507,515,1730,thumb
527,483,1740,thumb
540,486,1750,thumb
536,490,1760,thumb
540,502,1770,thumb
533,491,1780,thumb
505,489,1790,thumb
532,497,1800,thumb
543,522,1810,thumb
547,500,1820,thumb
538,497,1830,thumb
545,505,1840,thumb
545,485,1850,thumb
549,484,1860,thumb
507,507,1870,thumb
511,498,1880,thumb
503,495,1890,thumb
524,527,1900,thumb
521,489,1910,thumb
521,527,1920,thumb
527,511,1930,thumb
529,513,1940,thumb
512,493,1950,thumb
530,484,1960,thumb
549,529,1970,thumb
538,508,1980,thumb
535,510,1990,thumb
510,489,2000,thumb
539,511,2010,thumb
519,481,2020,thumb
523,509,2030,thumb
529,504,2040,thumb
505,508,2050,thumb
534,489,2060,thumb
533,491,2070,thumb
549,491,2080,thumb
548,529,2090,thumb
501,484,2100,thumb
517,522,2110,thumb
532,524,2120,thumb
503,512,2130,thumb
512,491,2140,thumb
530,525,2150,thumb
531,497,2160,thumb
548,488,2170,thumb
518,524,2180,thumb
517,525,2190,thumb
513,513,2200,thumb
511,516,2210,thumb
502,498,2220,thumb
534,487,2230,thumb
515,522,2240,thumb
509,487,2250,thumb
542,483,2260,thumb
541,494,2270,thumb
514,520,2280,thumb
536,523,2290,thumb
538,491,2300,thumb
518,488,2310,thumb
534,494,2320,thumb
544,517,2330,thumb
536,511,2340,thumb
523,505,2350,thumb
518,503,2360,thumb
547,497,2370,thumb
501,527,2380,thumb
508,490,2390,thumb
548,499,2400,thumb
535,494,2410,thumb
525,501,2420,thumb
527,511,2430,thumb
534,487,2440,thumb
523,489,2450,thumb
505,523,2460,thumb
531,511,2470,thumb
518,518,2480,thumb
515,490,2490,thumb
525,487,2500,thumb
534,497,2510,thumb
524,520,2520,thumb
538,503,2530,thumb
512,525,2540,thumb
536,523,2550,thumb
519,480,2560,thumb
517,491,2570,thumb
528,527,2580,thumb
520,507,2590,thumb
530,491,2600,thumb
522,502,2610,thumb
539,506,2620,thumb
546,483,2630,thumb
507,492,2640,thumb
532,483,2650,thumb
525,506,2660,thumb
529,518,2670,thumb
540,515,2680,thumb
524,509,2690,thumb
509,514,2700,thumb
523,521,2710,thumb
527,509,2720,thumb
532,486,2730,thumb
508,480,2740,thumb
502,490,2750,thumb
515,500,2760,thumb
528,487,2770,thumb
530,510,2780,thumb
549,510,2790,thumb
539,509,2800,thumb
512,503,2810,thumb
548,507,2820,thumb
538,505,2830,thumb
533,528,2840,thumb
529,511,2850,thumb
520,515,2860,thumb
533,517,2870,thumb
532,482,2880,thumb
512,511,2890,thumb
533,517,2900,thumb
521,482,2910,thumb
522,493,2920,thumb
531,499,2930,thumb
519,523,2940,thumb
532,483,2950,thumb
534,482,2960,thumb
524,502,2970,thumb
546,498,2980,thumb
518,510,2990,thumb
519,521,3000,thumb
518,507,3010,thumb
531,497,3020,thumb
536,502,3030,thumb
535,515,3040,thumb
538,487,3050,thumb
523,510,3060,thumb
536,492,3070,thumb
541,520,3080,thumb
549,502,3090,thumb
526,482,3100,thumb
548,485,3110,thumb
538,526,3120,thumb
501,505,3130,thumb
509,491,3140,thumb
529,500,3150,thumb
546,497,3160,thumb
537,504,3170,thumb
522,495,3180,thumb
539,484,3190,thumb
530,501,3200,thumb
517,504,3210,thumb
523,497,3220,thumb
541,523,3230,thumb
543,483,3240,thumb
507,512,3250,thumb
516,510,3260,thumb
539,508,3270,thumb
521,493,3280,thumb
518,517,3290,thumb
506,502,3300,thumb
538,485,3310,thumb
546,507,3320,thumb
526,501,3330,thumb
528,496,3340,thumb
504,487,3350,thumb
513,513,3360,thumb
512,508,3370,thumb
526,507,3380,thumb
543,502,3390,thumb
547,518,3400,thumb
547,522,3410,thumb
507,506,3420,thumb
543,506,3430,thumb
536,525,3440,thumb
510,487,3450,thumb
516,499,3460,thumb
500,521,3470,thumb
521,486,3480,thumb
516,528,3490,thumb
525,511,3500,thumb
521,481,3510,thumb
520,494,3520,thumb
508,517,3530,thumb
541,492,3540,thumb
530,524,3550,thumb
521,502,3560,thumb
515,483,3570,thumb
501,513,3580,thumb
525,505,3590,thumb
503,524,3600,thumb
541,527,3610,thumb
515,499,3620,thumb
506,521,3630,thumb
535,500,3640,thumb
508,502,3650,thumb
505,527,3660,thumb
527,523,3670,thumb
540,510,3680,thumb
547,517,3690,thumb
511,520,3700,thumb
533,493,3710,thumb
527,525,3720,thumb
540,527,3730,thumb
543,511,3740,thumb
548,509,3750,thumb
512,511,3760,thumb
549,521,3770,thumb
510,488,3780,thumb
513,511,3790,thumb
516,519,3800,thumb
531,517,3810,thumb
548,505,3820,thumb
511,527,3830,thumb
515,519,3840,thumb
535,519,3850,thumb
543,501,3860,thumb
511,525,3870,thumb
500,481,3880,thumb
522,525,3890,thumb
502,509,3900,thumb
507,493,3910,thumb
514,521,3920,thumb
500,510,3930,thumb
524,491,3940,thumb
544,504,3950,thumb
549,520,3960,thumb
508,513,3970,thumb
500,483,3980,thumb
506,519,3990,thumb
509,515,4000,thumb
532,486,4010,thumb
548,486,4020,thumb
543,498,4030,thumb
547,507,4040,thumb
514,486,4050,thumb
524,504,4060,thumb
518,494,4070,thumb
547,517,4080,thumb
543,515,4090,thumb
519,525,4100,thumb
541,517,4110,thumb
517,528,4120,thumb
520,497,4130,thumb
512,523,4140,thumb
531,505,4150,thumb
515,515,4160,thumb
519,503,4170,thumb
521,517,4180,thumb
531,507,4190,thumb
504,482,4200,thumb
536,500,4210,thumb
531,527,4220,thumb
503,529,4230,thumb
539,525,4240,thumb
546,522,4250,thumb
541,521,4260,thumb
532,512,4270,thumb
509,511,4280,thumb
506,521,4290,thumb
506,493,4300,thumb
509,505,4310,thumb
520,491,4320,thumb
505,489,4330,thumb
549,500,4340,thumb
538,486,4350,thumb
516,522,4360,thumb
542,499,4370,thumb
514,517,4380,thumb
539,502,4390,thumb
500,504,4400,thumb
541,492,4410,thumb
501,528,4420,thumb
549,487,4430,thumb
541,481,4440,thumb
532,517,4450,thumb
537,483,4460,thumb
513,519,4470,thumb
524,494,4480,thumb
516,513,4490,thumb
504,487,4500,thumb
504,481,4510,thumb
513,481,4520,thumb
509,521,4530,thumb
525,484,4540,thumb
515,499,4550,thumb
525,501,4560,thumb
513,494,4570,thumb
527,520,4580,thumb
538,514,4590,thumb
