ch1,ch2,timestamp_ms,label
516,513,0,up
522,492,10,up
525,525,20,up
547,506,30,up
508,494,40,up
529,509,50,up
511,510,60,up
530,495,70,up
522,513,80,up
543,503,90,up
541,517,100,up
548,508,110,up
504,491,120,up
526,502,130,up
518,493,140,up
511,508,150,up
544,523,160,up
504,507,170,up
539,508,180,up
501,517,190,up
525,493,200,up
508,520,210,up
511,491,220,up
516,485,230,up
532,490,240,up
527,527,250,up
509,511,260,up
528,484,270,up
546,508,280,up
542,505,290,up
530,515,300,up
533,480,310,up
525,512,320,up
529,523,330,up
503,528,340,up
537,503,350,up
545,515,360,up
509,514,370,up
516,519,380,up
523,518,390,up
539,525,400,up
537,495,410,up
546,519,420,up
507,519,430,up
513,519,440,up
547,527,450,up
544,493,460,up
514,514,470,up
511,499,480,up
500,499,490,up
508,519,500,up
534,495,510,up
501,515,520,up
509,502,530,up
521,526,540,up
527,524,550,up
517,500,560,up
500,500,570,up
538,487,580,up
521,483,590,up
526,500,600,up
534,524,610,up
501,489,620,up
509,505,630,up
502,500,640,up
514,493,650,up
534,503,660,up
545,515,670,up
525,503,680,up
523,527,690,up
501,526,700,up
504,490,710,up
523,529,720,up
502,493,730,up
535,484,740,up
526,480,750,up
526,488,760,up
521,506,770,up
532,521,780,up
518,488,790,up
534,495,800,up
525,482,810,up
517,523,820,up
533,519,830,up
502,518,840,up
541,508,850,up
541,508,860,up
526,512,870,up
516,518,880,up
518,497,890,up
534,499,900,up
500,498,910,up
511,481,920,up
538,520,930,up
519,529,940,up
523,505,950,up
529,501,960,up
517,505,970,up
548,501,980,up
534,528,990,up
514,522,1000,up
524,521,1010,up
511,515,1020,up
505,525,1030,up
510,490,1040,up
516,508,1050,up
541,504,1060,up
522,497,1070,up
504,488,1080,up
530,523,1090,up
536,513,1100,up
525,524,1110,up
519,506,1120,up
520,495,1130,up
533,496,1140,up
520,518,1150,up
542,499,1160,up
513,508,1170,up
530,493,1180,up
524,525,1190,up
547,525,1200,up
539,519,1210,up
526,506,1220,up
500,518,1230,up
522,520,1240,up
543,491,1250,up
519,521,1260,up
548,490,1270,up
506,500,1280,up
533,488,1290,up
539,491,1300,up
519,490,1310,up
545,490,1320,up
543,488,1330,up
549,529,1340,up
512,517,1350,up
532,512,1360,up
518,496,1370,up
