ch1,ch2,timestamp_ms,label
518,492,0,fist
512,482,10,fist
541,484,20,fist
547,512,30,fist
520,507,40,fist
530,494,50,fist
548,524,60,fist
547,491,70,fist
516,493,80,fist
514,527,90,fist
537,529,100,fist
536,496,110,fist
542,529,120,fist
519,527,130,fist
515,519,140,fist
543,482,150,fist
511,517,160,fist
519,513,170,fist
521,486,180,fist
542,506,190,fist
511,501,200,fist
545,486,210,fist
531,482,220,fist
501,525,230,fist
508,509,240,fist
519,518,250,fist
522,505,260,fist
526,522,270,fist
507,492,280,fist
529,516,290,fist
523,522,300,fist
527,519,310,fist
543,505,320,fist
531,522,330,fist
525,487,340,fist
546,487,350,fist
534,490,360,fist
509,510,370,fist
523,487,380,fist
514,510,390,fist
536,498,400,fist
521,517,410,fist
541,513,420,fist
503,492,430,fist
536,520,440,fist
546,498,450,fist
546,529,460,fist
528,518,470,fist
524,507,480,fist
527,517,490,fist
529,522,500,fist
539,482,510,fist
547,524,520,fist
541,495,530,fist
502,499,540,fist
538,503,550,fist
528,516,560,fist
536,524,570,fist
517,514,580,fist
518,501,590,fist
527,501,600,fist
511,481,610,fist
528,487,620,fist
541,524,630,fist
535,523,640,fist
520,505,650,fist
527,528,660,fist
545,509,670,fist
549,522,680,fist
544,490,690,fist
529,509,700,fist
540,508,710,fist
522,515,720,fist
529,515,730,fist
505,518,740,fist
518,490,750,fist
549,500,760,fist
507,509,770,fist
516,527,780,fist
538,507,790,fist
510,494,800,fist
516,528,810,fist
514,491,820,fist
526,494,830,fist
517,511,840,fist
514,527,850,fist
500,510,860,fist
534,484,870,fist
518,487,880,fist
516,505,890,fist
517,509,900,fist
525,482,910,fist
525,485,920,fist
529,513,930,fist
525,521,940,fist
516,514,950,fist
504,517,960,fist
502,483,970,fist
548,492,980,fist
542,514,990,fist
532,513,1000,fist
529,528,1010,fist
528,485,1020,fist
513,492,1030,fist
508,529,1040,fist
518,503,1050,fist
501,501,1060,fist
531,513,1070,fist
522,504,1080,fist
534,480,1090,fist
545,524,1100,fist
512,528,1110,fist
511,505,1120,fist
517,488,1130,fist
512,512,1140,fist
516,507,1150,fist
547,515,1160,fist
509,502,1170,fist
512,495,1180,fist
516,511,1190,fist
522,517,1200,fist
507,500,1210,fist
536,488,1220,fist
522,498,1230,fist
518,493,1240,fist
504,491,1250,fist
530,485,1260,fist
513,520,1270,fist
512,500,1280,fist
528,523,1290,fist
522,492,1300,fist
530,492,1310,fist
518,524,1320,fist
544,522,1330,fist
548,482,1340,fist
540,510,1350,fist
509,511,1360,fist
504,524,1370,fist
509,497,1380,fist
504,526,1390,fist
508,483,1400,fist
549,488,1410,fist
515,529,1420,fist
530,482,1430,fist
545,517,1440,fist
506,518,1450,fist
529,512,1460,fist
519,494,1470,fist
521,493,1480,fist
547,489,1490,fist
511,516,1500,fist
516,517,1510,fist
514,529,1520,fist
528,516,1530,fist
537,497,1540,fist
519,493,1550,fist
543,489,1560,fist
536,493,1570,fist
533,522,1580,fist
549,496,1590,fist
540,487,1600,fist
514,482,1610,fist
548,484,1620,fist
544,492,1630,fist
533,495,1640,fist
544,493,1650,fist
533,504,1660,fist
521,480,1670,fist
525,522,1680,fist
511,485,1690,fist
534,499,1700,fist
541,515,1710,fist
530,490,1720,fist
517,518,1730,fist
539,509,1740,fist
535,527,1750,fist
530,528,1760,fist
512,485,1770,fist
547,512,1780,fist
531,501,1790,fist
509,516,1800,fist
531,512,1810,fist
508,492,1820,fist
526,490,1830,fist
519,492,1840,fist
504,489,1850,fist
518,485,1860,fist
537,509,1870,fist
549,498,1880,fist
533,510,1890,fist
526,529,1900,fist
511,522,1910,fist
515,506,1920,fist
543,500,1930,fist
523,485,1940,fist
527,493,1950,fist
538,484,1960,fist
508,487,1970,fist
543,485,1980,fist
533,502,1990,fist
529,525,2000,fist
545,500,2010,fist
522,527,2020,fist
505,481,2030,fist
530,502,2040,fist
502,502,2050,fist
542,494,2060,fist
504,518,2070,fist
548,498,2080,fist
507,511,2090,fist
524,484,2100,fist
538,513,2110,fist
545,492,2120,fist
533,493,2130,fist
515,509,2140,fist
527,497,2150,fist
505,514,2160,fist
507,513,2170,fist
544,504,2180,fist
505,523,2190,fist
532,509,2200,fist
539,489,2210,fist
518,480,2220,fist
536,485,2230,fist
514,502,2240,fist
510,526,2250,fist
542,505,2260,fist
534,529,2270,fist
526,494,2280,fist
549,502,2290,fist
524,516,2300,fist
505,522,2310,fist
530,499,2320,fist
503,526,2330,fist
537,505,2340,fist
523,510,2350,fist
512,514,2360,fist
533,495,2370,fist
546,499,2380,fist
524,505,2390,fist
547,484,2400,fist
501,487,2410,fist
542,485,2420,fist
546,501,2430,fist
529,488,2440,fist
508,497,2450,fist
517,489,2460,fist
521,514,2470,fist
504,521,2480,fist
549,520,2490,fist
516,498,2500,fist
523,488,2510,fist
535,509,2520,fist
526,500,2530,fist
521,523,2540,fist
536,522,2550,fist
505,481,2560,fist
500,513,2570,fist
523,482,2580,fist
523,528,2590,fist
518,487,2600,fist
518,500,2610,fist
527,502,2620,fist
542,508,2630,fist
549,493,2640,fist
538,524,2650,fist
510,491,2660,fist
535,522,2670,fist
541,491,2680,fist
549,512,2690,fist
507,504,2700,fist
540,518,2710,fist
523,507,2720,fist
525,501,2730,fist
527,510,2740,fist
534,498,2750,fist
524,509,2760,fist
509,520,2770,fist
532,487,2780,fist
524,509,2790,fist
549,526,2800,fist
527,488,2810,fist
514,486,2820,fist
544,486,2830,fist
534,481,2840,fist
517,488,2850,fist
538,514,2860,fist
501,503,2870,fist
526,521,2880,fist
510,485,2890,fist
541,502,2900,fist
530,497,2910,fist
516,527,2920,fist
519,503,2930,fist
537,483,2940,fist
539,502,2950,fist
507,494,2960,fist
523,505,2970,fist
539,505,2980,fist
504,497,2990,fist
541,496,3000,fist
506,504,3010,fist
545,496,3020,fist
543,522,3030,fist
531,480,3040,fist
549,499,3050,fist
520,526,3060,fist
548,518,3070,fist
542,496,3080,fist
508,499,3090,fist
526,517,3100,fist
535,519,3110,fist
529,490,3120,fist
512,501,3130,fist
520,491,3140,fist
544,511,3150,fist
543,506,3160,fist
540,519,3170,fist
503,500,3180,fist
542,503,3190,fist
510,496,3200,fist
516,514,3210,fist
514,482,3220,fist
532,499,3230,fist
510,506,3240,fist
520,501,3250,fist
537,520,3260,fist
511,527,3270,fist
526,490,3280,fist
507,523,3290,fist
521,517,3300,fist
500,489,3310,fist
502,495,3320,fist
548,520,3330,fist
540,484,3340,fist
515,519,3350,fist
519,520,3360,fist
524,529,3370,fist
