ch1,ch2,timestamp_ms,label
524,493,0,index_finger
532,576,10,index_finger
488,488,20,index_finger
579,538,30,index_finger
476,527,40,index_finger
477,477,50,index_finger
512,404,60,index_finger
414,472,70,index_finger
450,516,80,index_finger
455,430,90,index_finger
574,489,100,index_finger
504,429,110,index_finger
473,506,120,index_finger
443,520,130,index_finger
471,486,140,index_finger
471,594,150,index_finger
500,448,160,index_finger
542,440,170,index_finger
512,403,180,index_finger
435,511,190,index_finger
538,510,200,index_finger
496,486,210,index_finger
428,466,220,index_finger
479,555,230,index_finger
519,414,240,index_finger
518,483,250,index_finger
468,533,260,index_finger
554,549,270,index_finger
460,487,280,index_finger
519,551,290,index_finger
478,493,300,index_finger
447,443,310,index_finger
543,570,320,index_finger
499,553,330,index_finger
521,470,340,index_finger
521,580,350,index_finger
501,581,360,index_finger
372,544,370,index_finger
507,488,380,index_finger
508,404,390,index_finger
492,521,400,index_finger
577,477,410,index_finger
463,478,420,index_finger
549,520,430,index_finger
477,529,440,index_finger
509,552,450,index_finger
469,487,460,index_finger
484,431,470,index_finger
519,517,480,index_finger
504,492,490,index_finger
433,483,500,index_finger
487,464,510,index_finger
496,525,520,index_finger
599,513,530,index_finger
517,501,540,index_finger
409,503,550,index_finger
508,628,560,index_finger
495,520,570,index_finger
503,447,580,index_finger
562,543,590,index_finger
545,460,600,index_finger
575,435,610,index_finger
535,615,620,index_finger
456,477,630,index_finger
510,480,640,index_finger
428,509,650,index_finger
453,529,660,index_finger
460,583,670,index_finger
467,490,680,index_finger
547,444,690,index_finger
517,571,700,index_finger
426,515,710,index_finger
519,545,720,index_finger
444,440,730,index_finger
533,521,740,index_finger
519,524,750,index_finger
473,518,760,index_finger
521,471,770,index_finger
600,530,780,index_finger
447,540,790,index_finger
458,546,800,index_finger
565,466,810,index_finger
555,528,820,index_finger
548,602,830,index_finger
495,470,840,index_finger
463,467,850,index_finger
504,525,860,index_finger
521,549,870,index_finger
508,580,880,index_finger
495,644,890,index_finger
539,465,900,index_finger
454,532,910,index_finger
497,544,920,index_finger
532,505,930,index_finger
466,432,940,index_finger
486,551,950,index_finger
519,446,960,index_finger
517,528,970,index_finger
464,516,980,index_finger
512,452,990,index_finger
527,537,1000,index_finger
563,562,1010,index_finger
440,462,1020,index_finger
535,535,1030,index_finger
535,702,1040,index_finger
538,566,1050,index_finger
557,542,1060,index_finger
494,547,1070,index_finger
471,498,1080,index_finger
485,514,1090,index_finger
625,416,1100,index_finger
544,429,1110,index_finger
486,564,1120,index_finger
513,456,1130,index_finger
474,544,1140,index_finger
474,521,1150,index_finger
512,478,1160,index_finger
617,542,1170,index_finger
409,520,1180,index_finger
477,553,1190,index_finger
471,505,1200,index_finger
536,554,1210,index_finger
451,494,1220,index_finger
487,478,1230,index_finger
599,531,1240,index_finger
448,557,1250,index_finger
617,563,1260,index_finger
435,487,1270,index_finger
575,476,1280,index_finger
534,550,1290,index_finger
465,508,1300,index_finger
349,460,1310,index_finger
499,449,1320,index_finger
593,440,1330,index_finger
490,518,1340,index_finger
584,440,1350,index_finger
570,512,1360,index_finger
463,535,1370,index_finger
522,482,1380,index_finger
516,493,1390,index_finger
518,545,1400,index_finger
592,450,1410,index_finger
619,415,1420,index_finger
505,542,1430,index_finger
527,481,1440,index_finger
502,488,1450,index_finger
483,555,1460,index_finger
531,478,1470,index_finger
558,528,1480,index_finger
554,545,1490,index_finger
472,485,1500,index_finger
551,544,1510,index_finger
512,519,1520,index_finger
577,484,1530,index_finger
541,503,1540,index_finger
503,568,1550,index_finger
555,554,1560,index_finger
579,515,1570,index_finger
548,498,1580,index_finger
530,507,1590,index_finger
519,544,1600,index_finger
473,619,1610,index_finger
464,453,1620,index_finger
572,554,1630,index_finger
545,546,1640,index_finger
514,470,1650,index_finger
518,481,1660,index_finger
563,507,1670,index_finger
473,499,1680,index_finger
535,487,1690,index_finger
474,527,1700,index_finger
527,490,1710,index_finger
491,527,1720,index_finger
443,445,1730,index_finger
479,504,1740,index_finger
531,589,1750,index_finger
558,507,1760,index_finger
514,465,1770,index_finger
514,501,1780,index_finger
532,474,1790,index_finger
542,592,1800,index_finger
510,536,1810,index_finger
550,496,1820,index_finger
527,516,1830,index_finger
521,477,1840,index_finger
517,541,1850,index_finger
589,564,1860,index_finger
624,478,1870,index_finger
560,525,1880,index_finger
626,476,1890,index_finger
474,486,1900,index_finger
410,490,1910,index_finger
479,524,1920,index_finger
534,610,1930,index_finger
564,488,1940,index_finger
472,541,1950,index_finger
451,608,1960,index_finger
576,493,1970,index_finger
431,585,1980,index_finger
511,579,1990,index_finger
437,487,2000,index_finger
517,520,2010,index_finger
495,548,2020,index_finger
464,510,2030,index_finger
523,543,2040,index_finger
553,461,2050,index_finger
441,581,2060,index_finger
534,480,2070,index_finger
595,524,2080,index_finger
577,521,2090,index_finger
621,606,2100,index_finger
506,567,2110,index_finger
550,586,2120,index_finger
470,552,2130,index_finger
571,430,2140,index_finger
459,416,2150,index_finger
505,554,2160,index_finger
594,522,2170,index_finger
600,449,2180,index_finger
433,516,2190,index_finger
538,517,2200,index_finger
415,514,2210,index_finger
454,552,2220,index_finger
537,472,2230,index_finger
493,466,2240,index_finger
516,567,2250,index_finger
470,544,2260,index_finger
493,479,2270,index_finger
514,467,2280,index_finger
492,459,2290,index_finger
618,521,2300,index_finger
484,530,2310,index_finger
514,508,2320,index_finger
550,557,2330,index_finger
493,491,2340,index_finger
506,405,2350,index_finger
444,588,2360,index_finger
602,507,2370,index_finger
549,535,2380,index_finger
674,576,2390,index_finger
514,472,2400,index_finger
440,530,2410,index_finger
482,449,2420,index_finger
488,466,2430,index_finger
605,564,2440,index_finger
520,594,2450,index_finger
524,477,2460,index_finger
597,547,2470,index_finger
469,511,2480,index_finger
477,452,2490,index_finger
567,616,2500,index_finger
451,549,2510,index_finger
488,496,2520,index_finger
491,478,2530,index_finger
523,479,2540,index_finger
535,519,2550,index_finger
509,476,2560,index_finger
492,559,2570,index_finger
546,472,2580,index_finger
526,559,2590,index_finger
438,549,2600,index_finger
488,550,2610,index_finger
483,431,2620,index_finger
440,524,2630,index_finger
535,476,2640,index_finger
554,439,2650,index_finger
518,461,2660,index_finger
489,524,2670,index_finger
479,503,2680,index_finger
572,493,2690,index_finger
564,466,2700,index_finger
549,594,2710,index_finger
399,482,2720,index_finger
551,512,2730,index_finger
541,492,2740,index_finger
527,515,2750,index_finger
581,535,2760,index_finger
539,502,2770,index_finger
498,501,2780,index_finger
542,502,2790,index_finger
537,626,2800,index_finger
566,506,2810,index_finger
583,502,2820,index_finger
421,472,2830,index_finger
429,505,2840,index_finger
524,607,2850,index_finger
539,512,2860,index_finger
565,412,2870,index_finger
535,562,2880,index_finger
449,580,2890,index_finger
540,502,2900,index_finger
555,637,2910,index_finger
532,536,2920,index_finger
500,481,2930,index_finger
565,481,2940,index_finger
527,500,2950,index_finger
548,540,2960,index_finger
575,498,2970,index_finger
510,475,2980,index_finger
502,543,2990,index_finger
562,478,3000,index_finger
567,592,3010,index_finger
545,618,3020,index_finger
485,462,3030,index_finger
435,599,3040,index_finger
557,521,3050,index_finger
538,468,3060,index_finger
646,531,3070,index_finger
530,560,3080,index_finger
548,535,3090,index_finger
485,548,3100,index_finger
618,592,3110,index_finger
604,499,3120,index_finger
475,518,3130,index_finger
527,579,3140,index_finger
440,601,3150,index_finger
517,503,3160,index_finger
474,442,3170,index_finger
566,528,3180,index_finger
460,460,3190,index_finger
508,608,3200,index_finger
512,450,3210,index_finger
513,511,3220,index_finger
390,522,3230,index_finger
513,560,3240,index_finger
618,581,3250,index_finger
512,470,3260,index_finger
654,528,3270,index_finger
526,524,3280,index_finger
535,518,3290,index_finger
497,498,3300,index_finger
524,498,3310,index_finger
490,531,3320,index_finger
513,601,3330,index_finger
393,580,3340,index_finger
588,422,3350,index_finger
508,507,3360,index_finger
455,487,3370,index_finger
470,613,3380,index_finger
573,589,3390,index_finger
562,469,3400,index_finger
500,550,3410,index_finger
465,562,3420,index_finger
514,507,3430,index_finger
562,548,3440,index_finger
508,584,3450,index_finger
472,557,3460,index_finger
