ch1,ch2,timestamp_ms,label
513,486,0,rest
522,570,10,rest
486,496,20,rest
575,522,30,rest
487,518,40,rest
476,481,50,rest
514,415,60,rest
418,463,70,rest
471,517,80,rest
453,439,90,rest
575,492,100,rest
528,426,110,rest
469,506,120,rest
453,503,130,rest
450,479,140,rest
453,588,150,rest
504,438,160,rest
526,439,170,rest
519,385,180,rest
441,518,190,rest
546,520,200,rest
516,481,210,rest
427,459,220,rest
476,568,230,rest
503,403,240,rest
529,490,250,rest
462,539,260,rest
554,561,270,rest
458,494,280,rest
542,554,290,rest
476,497,300,rest
441,464,310,rest
542,565,320,rest
488,561,330,rest
526,462,340,rest
523,561,350,rest
500,582,360,rest
386,533,370,rest
491,476,380,rest
491,413,390,rest
504,521,400,rest
586,475,410,rest
458,471,420,rest
542,500,430,rest
476,525,440,rest
512,549,450,rest
463,474,460,rest
481,434,470,rest
503,513,480,rest
502,481,490,rest
423,481,500,rest
471,463,510,rest
482,530,520,rest
617,500,530,rest
518,489,540,rest
414,486,550,rest
507,614,560,rest
488,504,570,rest
506,433,580,rest
562,534,590,rest
538,456,600,rest
562,432,610,rest
544,601,620,rest
462,486,630,rest
496,460,640,rest
425,497,650,rest
465,524,660,rest
446,566,670,rest
471,478,680,rest
541,448,690,rest
506,564,700,rest
419,516,710,rest
518,536,720,rest
438,430,730,rest
511,517,740,rest
531,508,750,rest
458,502,760,rest
521,468,770,rest
591,514,780,rest
441,517,790,rest
452,548,800,rest
545,443,810,rest
563,514,820,rest
552,593,830,rest
486,466,840,rest
446,460,850,rest
492,503,860,rest
517,538,870,rest
499,560,880,rest
502,644,890,rest
540,454,900,rest
429,543,910,rest
488,528,920,rest
527,508,930,rest
457,437,940,rest
488,532,950,rest
503,447,960,rest
481,517,970,rest
441,502,980,rest
499,439,990,rest
512,517,1000,rest
577,571,1010,rest
419,468,1020,rest
521,526,1030,rest
525,686,1040,rest
538,558,1050,rest
542,519,1060,rest
475,521,1070,rest
461,476,1080,rest
473,517,1090,rest
627,406,1100,rest
533,438,1110,rest
481,551,1120,rest
488,450,1130,rest
472,527,1140,rest
466,507,1150,rest
500,442,1160,rest
604,541,1170,rest
392,509,1180,rest
459,546,1190,rest
458,484,1200,rest
538,552,1210,rest
433,488,1220,rest
481,473,1230,rest
571,530,1240,rest
431,542,1250,rest
632,554,1260,rest
420,453,1270,rest
577,451,1280,rest
512,535,1290,rest
467,504,1300,rest
336,451,1310,rest
481,439,1320,rest
582,438,1330,rest
487,511,1340,rest
568,435,1350,rest
557,489,1360,rest
446,523,1370,rest
519,468,1380,rest
491,481,1390,rest
506,534,1400,rest
588,448,1410,rest
600,396,1420,rest
482,536,1430,rest
528,465,1440,rest
487,490,1450,rest
475,546,1460,rest
505,472,1470,rest
535,504,1480,rest
537,525,1490,rest
456,457,1500,rest
546,541,1510,rest
479,515,1520,rest
555,478,1530,rest
526,490,1540,rest
487,567,1550,rest
528,546,1560,rest
576,508,1570,rest
557,479,1580,rest
525,492,1590,rest
517,529,1600,rest
455,617,1610,rest
444,425,1620,rest
552,545,1630,rest
545,532,1640,rest
512,441,1650,rest
499,463,1660,rest
547,493,1670,rest
465,479,1680,rest
522,471,1690,rest
449,511,1700,rest
510,473,1710,rest
476,512,1720,rest
423,442,1730,rest
452,482,1740,rest
543,563,1750,rest
529,499,1760,rest
478,447,1770,rest
520,470,1780,rest
496,443,1790,rest
534,587,1800,rest
489,526,1810,rest
548,497,1820,rest
508,477,1830,rest
496,457,1840,rest
498,523,1850,rest
583,560,1860,rest
605,472,1870,rest
547,509,1880,rest
618,460,1890,rest
478,455,1900,rest
388,472,1910,rest
466,520,1920,rest
516,579,1930,rest
555,478,1940,rest
435,524,1950,rest
418,584,1960,rest
549,484,1970,rest
415,554,1980,rest
503,547,1990,rest
423,461,2000,rest
496,507,2010,rest
482,544,2020,rest
445,495,2030,rest
501,527,2040,rest
539,442,2050,rest
405,567,2060,rest
520,455,2070,rest
564,520,2080,rest
563,501,2090,rest
591,579,2100,rest
500,549,2110,rest
526,573,2120,rest
443,549,2130,rest
566,407,2140,rest
434,371,2150,rest
471,522,2160,rest
576,500,2170,rest
567,428,2180,rest
419,502,2190,rest
500,497,2200,rest
382,504,2210,rest
442,524,2220,rest
510,448,2230,rest
451,450,2240,rest
494,557,2250,rest
439,519,2260,rest
458,450,2270,rest
482,458,2280,rest
465,441,2290,rest
594,489,2300,rest
463,516,2310,rest
482,497,2320,rest
522,533,2330,rest
478,464,2340,rest
486,381,2350,rest
425,544,2360,rest
563,493,2370,rest
539,506,2380,rest
651,558,2390,rest
500,431,2400,rest
410,506,2410,rest
469,453,2420,rest
465,431,2430,rest
588,557,2440,rest
500,564,2450,rest
513,463,2460,rest
565,530,2470,rest
458,502,2480,rest
455,427,2490,rest
558,583,2500,rest
434,514,2510,rest
478,473,2520,rest
483,461,2530,rest
490,472,2540,rest
529,506,2550,rest
480,451,2560,rest
472,530,2570,rest
541,452,2580,rest
477,540,2590,rest
413,526,2600,rest
463,536,2610,rest
473,412,2620,rest
415,501,2630,rest
513,446,2640,rest
537,421,2650,rest
512,452,2660,rest
460,510,2670,rest
447,487,2680,rest
545,460,2690,rest
544,416,2700,rest
508,570,2710,rest
377,456,2720,rest
513,481,2730,rest
522,475,2740,rest
504,503,2750,rest
562,505,2760,rest
514,465,2770,rest
474,489,2780,rest
526,492,2790,rest
511,617,2800,rest
541,498,2810,rest
559,486,2820,rest
412,447,2830,rest
408,495,2840,rest
499,570,2850,rest
537,484,2860,rest
543,401,2870,rest
505,528,2880,rest
428,539,2890,rest
514,481,2900,rest
528,598,2910,rest
525,513,2920,rest
491,454,2930,rest
532,459,2940,rest
501,464,2950,rest
538,510,2960,rest
533,487,2970,rest
481,444,2980,rest
460,536,2990,rest
524,454,3000,rest
552,571,3010,rest
520,576,3020,rest
453,439,3030,rest
403,576,3040,rest
539,506,3050,rest
501,465,3060,rest
629,506,3070,rest
